name,url,unit,description,type,audience,online,ch_branch,ch_phone,ch_email,ch_mail,ch_kiosk,level,level_name,usage_total,usage_digital,usage_frontal,usage_phone
בקשה לפטור נכס ריק,https://por179.cityforms.co.il/ApplicationBuilder/eFormRender.html?code=81030050568A4D0111BB33BA9A6234DE&Process=ProcessOneClick&NOSE=1&TAT=2&SUG=7,הכנסות וארנונה,בקשה לפטור או הנחה בגין נכס ריק על פי קריטריונים לזכאות,סיוע כלכלי וקצבאות,כלל האוכלוסייה,כן,כן,לא,לא,לא,לא,2,טופס להורדה,332,84,50,198
הצטרפות לספרייה עירונית,,תרבות ופנאי,הצטרפות לשירותי הספריה העירונית,אחר,כלל האוכלוסייה,לא,כן,לא,לא,לא,לא,1,הגעה פיזית,326,0,326,0
דיווח על כלב משוטט- פיקוח,https://www.ganeytikva.org.il/%D7%A9%D7%99%D7%A8%D7%95%D7%AA-%D7%95%D7%98%D7%A8%D7%99%D7%A0%D7%A8%D7%99/,השירות הוטרינרי,"דיווח לרשויות על כלב שנמצא ללא השגחה ואינו קשור ברצועה בשטח ציבורי. תופעה זו עלולה להוות סכנה הן לכלב עצמו והן לציבור, ולכן חשוב לדווח עליה",דיווח מידע,כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,3,טופס דיגיטלי,322,138,46,138
"דיווח על בע""ח במצוקה",,השירות הוטרינרי,"דיווח על בעלי חיים שנמצאים במצב של סבל, הזנחה או התעללות. מדובר במקרים בהם בעל חיים סובל ממצוקה פיזית או נפשית, כתוצאה מטיפול לקוי, תנאי מחיה ירודים או התעללות מכוונת",דיווח מידע,כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,3,טופס דיגיטלי,311,155,46,155
רישום לשירותי חינוך מיוחד,,חינוך,"הגשת בקשה במערכת הממוחשבת של משרד החינוך. הורים שילדיהם לומדים במסגרות חינוכיות פרטיות צריכים להירשם גם במערכת הרישום והשיבוץ לגנים העירוניים הרגילים לפי תאריכי הרישום, ובמקביל לשלוח את המסמכים הנדרשים בדוא""ל למחלקה לחינוך מיוחד: special@ramle.org.il. המחלקה תעביר את הבקשה למשרד החינוך לצורך דיון בוועדת זכאות ואפיון. יש להגיש את המסמכים עד 31 במרץ בכל שנה לצורך יישום ההחלטה לשנה הבאה. ניתן להגיש בקשות גם במהלך השנה דרך פורטל ההורים של משרד החינוך",אחר,הורים,לא,לא,לא,כן,לא,לא,2,טופס להורדה,300,0,300,0
בקשה לסייענות בחינוך מיוחד,,חינוך,בקשה לסיוע מיוחד בחינוך מתייחסת לבקשה להקצאת סייעת אישית לתלמיד עם צרכים מיוחדים הלומד במסגרת חינוך רגילה או מיוחדת. מטרת הסיוע היא לספק תמיכה נוספת לתלמיד כדי לאפשר לו להשתתף באופן מלא בתהליך הלמידה ולממש את הפוטנציאל שלו,אחר,הורים,לא,לא,לא,כן,לא,לא,2,טופס להורדה,300,0,300,0
פנייה ישירה בנושא היטל השבחה,https://handasa.ganeytikva.org.il/%d7%91%d7%93%d7%99%d7%a7%d7%aa-%d7%97%d7%95%d7%91%d7%95%d7%aa-%d7%91%d7%94%d7%a9%d7%91%d7%97%d7%94/,הנדסה,פניה לרשות המקומית לבירור גובה היטל ההשבחה. גובה היטל ההשבחה נקבע על ידי שמאי מקרקעין מטעם הועדה המקומית לתכנון ובניה המעריך את הנכס.,בקשת מידע,כלל האוכלוסייה,לא,לא,לא,כן,לא,לא,2,טופס להורדה,300,300,0,0
בקשה לפטור נכס הרוס/בשיפוצים,https://por179.cityforms.co.il/ApplicationBuilder/eFormRender.html?code=81030050568A4D0111BB33BA9A6234DE&Process=ProcessOneClick&NOSE=1&TAT=2&SUG=20,הכנסות וארנונה,בקשה לפטור או הנחה בגין נכס לא ראוי לשימוש על פי קריטריונים לזכאות,סיוע כלכלי וקצבאות,כלל האוכלוסייה,כן,כן,לא,לא,לא,לא,2,טופס להורדה,258,84,50,124
רישום לחוגי העשרה,https://www.mygt.org.il/page.php?type=matClass&id=643&ht=%D7%97%D7%95%D7%92%D7%99%20%D7%94%D7%A2%D7%A9%D7%A8%D7%94,החברה לפיתוח גני תקווה,"רישום לחוגים אותם מפעילה הרשות,לפי ענפים וקטגוריות","רישוי, רישום ותעודות",כלל האוכלוסייה,כן,כן,כן,לא,לא,לא,5,תהליך אוטומטי,250,220,5,20
פנייה לקבלת שירותי רווחה,https://www.gov.il/he/service/apply-for-help-from-the-department-of-social-services,רווחה ושירותים חברתיים,פניה לקבלת שירותי רווחה מהרשות בתחומי הפרט,אחר,כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,4,דיגיטלי עם הזדהות,250,0,200,50
פנייה לעובד סוציאלי,,רווחה ושירותים חברתיים,פניה לעובד סוציאלי מטעם הרשות לקבלת שירות סוציאלי בתחום הפרט,אחר,כלל האוכלוסייה,לא,כן,כן,כן,לא,לא,1,הגעה פיזית,250,0,200,50
תשלום אגרת שילוט,,הכנסות וארנונה,תשלום אגרת שילוט עבור רישיון שלט,תשלומים,בעלי עסקים,כן,כן,כן,כן,לא,לא,5,תהליך אוטומטי,240,240,0,0
"תשלום קנס - צואת כלבים, חניה,",https://mileon-portal.co.il/DefaultNew.aspx?Rashut=920069,השירות הוטרינרי,"תשלום כספי שנדרש לשלם עקב הפרת תקנות או חוקים הקשורים לבעלי חיים ולשירותים הווטרינריים. זה יכול לכלול קנסות על החזקת כלב ללא רישיון, כלב משוטט, או אי-חיסון כלב נגד כלבת.",תשלומים,כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,5,תהליך אוטומטי,200,150,20,30
עיקור וסירוס כלבים,https://forms-vetdan.binaa.co.il/%D7%A2%D7%99%D7%A7%D7%95%D7%A8-%D7%A1%D7%99%D7%A8%D7%95%D7%A1-%D7%9B%D7%9C%D7%91%D7%99%D7%9D-%D7%91%D7%91%D7%A2%D7%9C%D7%95%D7%AA/,השירות הוטרינרי,בקשה לעיקור או סירוס כלבים על ידי השירותים הוטרינרים ברשות,"רישוי, רישום ותעודות",כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,3,טופס דיגיטלי,200,150,0,50
בקשה ללימודי חוץ,,חינוך,בקשה לתלמידים המעוניינים ללמוד מחוץ לרשות,אחר,הורים,לא,לא,כן,כן,לא,לא,2,טופס להורדה,190,0,190,0
עיקור וסירוס חתולי רחוב,https://forms-vetdan.binaa.co.il/smartforms/3/?embed=1,השירות הוטרינרי,בקשה לעיקור או סירוס חתולי רחוב על ידי השירותים הוטרינרים ברשות,אחר,כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,3,טופס דיגיטלי,180,60,0,120
דיווח על מפגע תברואתי,https://www.ganeytikva.org.il/%D7%9E%D7%95%D7%A7%D7%93-106/,"שפ""ע","תהליך של דיווח על מצב או פעולה המהווים סכנה לבריאות הציבור או לסביבה, כגון הצטברות אשפה, מזיקים או זיהום. דיווח כזה נעשה בדרך כלל לרשויות המקומיות או לארגונים רלוונטיים, במטרה לטפל במפגע ולמנוע את התפשטותו",דיווח מידע,כלל האוכלוסייה,כן,לא,כן,כן,לא,לא,5,תהליך אוטומטי,179,90,0,89
בקשה להחזר תשלום,https://por179.cityforms.co.il/ApplicationBuilder/eFormRender.html?code=81030050568A4D0111BB33BA9A6234DE&Process=ProcessOneClick&NOSE=1&TAT=2&SUG=16,הכנסות וארנונה,"החזר תשלום שבוצע בטעות,תשלום כפול,החזר עבור תקופה שבה לא היה חבות בתשלום, חיוב שגוי או יתרת זכות,החזר אגרת שירות שבוטל",תשלומים,כלל האוכלוסייה,כן,כן,כן,לא,לא,לא,4,דיגיטלי עם הזדהות,172,73,68,9
תשלום אגרת סלילה,,ועדת תכנון ובנייה,"תשלום היטל סלילה אשר נועד לכסות את עלות הרשות המקומית בסלילת כבישים ומדרכות. ההיטל מוטל הן על בניה למגורים והן על בנייה לעסקים. תחשיב היטל הסלילה נערך ע”י גורם מקצועי ועובר אישור של משרד הפנים. הרשות נדרשת, אחת לכמה שנים, לערוך תחשיב מחדש. היטל הסלילה נועד לכסות את הוצאות הבניה והשדרוג של הכבישים והמדרכות וזאת להבדיל מפעולות תחזוקה שעלותן מכוסה מכספי הארנונה.",תשלומים,כלל האוכלוסייה,כן,כן,לא,כן,לא,לא,2,טופס להורדה,150,0,150,0
בקשה לסיוע כספי,,רווחה ושירותים חברתיים,"בקשה לסיוע כספי רווחה היא פנייה למחלקת הרווחה ברשות המקומית לקבלת סיוע כלכלי או חומרי. סיוע זה מיועד לאנשים ומשפחות המתקשים לעמוד בהוצאות מחייה בסיסיות או בהוצאות מיוחדות, כגון רכישת ציוד לבית, תשלום שכר דירה, או מימון טיפולים רפואיים",סיוע כלכלי וקצבאות,כלל האוכלוסייה,לא,כן,כן,כן,לא,לא,1,הגעה פיזית,150,0,125,25
סיוע חומרי/כלכלי,,רווחה ושירותים חברתיים,משרד הרווחה משתתף במימון הוצאות שונות למשפחות ויחידים המוכרים במחלקות לשירותים חברתיים. המימון ניתן בכפוף למגבלות התקציב ולאחר שמוצו כלל האפשרויות לקבלת סיוע עבור אותה מטרה מטעם גופים אחרים. הזכאות מותנית בתשלום השתתפות עצמית. סכום הסיוע ושיעורי ההשתתפות העצמית מחושבים לפי ההכנסות.,סיוע כלכלי וקצבאות,כלל האוכלוסייה,לא,כן,כן,כן,לא,לא,1,הגעה פיזית,150,0,100,50
רישום כלב,https://forms-vetdan.binaa.co.il/19/,השירות הוטרינרי,רישום כלב לשירות ווטרינרי עירוני,"רישוי, רישום ותעודות",כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,3,טופס דיגיטלי,138,46,46,46
העברת בעלות על כלב,https://forms-vetdan.binaa.co.il/19/,השירות הוטרינרי,"שינוי הבעלות הרשמית על הכלב מבעלים אחד לאחר. זה כולל עדכון פרטי הבעלות במרשם הכלבים העירוני והארצי. העברת הבעלות מבטיחה שהבעלות החוקית על הכלב תהיה רשומה על שם הבעלים החדש, מה שמסייע במעקב אחר בעלי כלבים ומתן טיפול נאות","רישוי, רישום ותעודות",כלל האוכלוסייה,כן,כן,כן,כן,לא,לא,3,טופס דיגיטלי,138,46,46,46
שירות שניתן מתוקף חוק,,רווחה ושירותים חברתיים,"עובדים סוציאליים על פי חוק (בעבר פקידי סעד) הם עובדים סוציאליים משירותי הרווחה ברשות המקומית שעברו הכשרה מיוחדת ומונו על-פי חוק מסוים. החוק מאפשר לעובדים הסוציאליים שמונו לתפקיד זה התערבות סמכותית וכפיית דרכי טיפול כדי להגן על אוכלוסיות בסיכון. עובדים סוציאליים על פי חוק יכולים ליזום הליכי פנייה לבית משפט. יש להם סמכות לחקירה, מתן חוות דעת והגשת תסקירים לבית משפט.",אחר,כלל האוכלוסייה,לא,כן,כן,כן,לא,לא,1,הגעה פיזית,130,0,100,30
פתיחת תיק במחלקה לשירותים חברתיים,,רווחה ושירותים חברתיים,"פתיחת תיק במחלקה לשירותים חברתיים היא הליך רישום רשמי המאפשר ליחיד ולמשפחה לקבל הערכה, ליווי וטיפול מעובד סוציאלי. התיק מאגד את פרטי המשפחה ומסייע במיצוי זכויות, סיוע כלכלי וטיפול משפחתי או אישי.",סיוע כלכלי וקצבאות,כלל האוכלוסייה,לא,כן,לא,לא,לא,לא,1,הגעה פיזית,120,0,120,0
איתור מרכזי קהילה ושירותים ציבוריים,https://www.ganeytikva.org.il/%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99%D7%9D-%D7%A2%D7%99%D7%A8%D7%95%D7%A0%D7%99%D7%99%D7%9D/,תרבות ופנאי,"איתור מרכזי קהילה ושירותים ציבוריים ברשות,לרבות מענים קהילתיים לרווחתן של הקבוצות השונות בקהילה, לשיפור נגישותם של התושבים למשאבים",בקשת מידע,כלל האוכלוסייה,כן,כן,כן,לא,לא,לא,5,תהליך אוטומטי,111,91,5,15
בקשה להקצאת מקום חניה לנכה,https://www.ganeytikva.org.il/smartforms/1456/,תחבורה וחניה,בקשת נכה להקצאת חנייה שמורה לנכה ליד מקום מגורים,"רישוי, רישום ותעודות",כלל האוכלוסייה,כן,לא,כן,כן,לא,לא,3,טופס דיגיטלי,104,100,0,4
בקשה להעברת גנים,https://www.ganeytikva.org.il/%D7%90%D7%92%D7%A3-%D7%94%D7%97%D7%99%D7%A0%D7%95%D7%9A-%D7%95%D7%94%D7%A0%D7%95%D7%A2%D7%A8/,חינוך,בקשה למעבר בין גני ילדים ברשות,אחר,הורים,כן,לא,לא,לא,לא,לא,4,דיגיטלי עם הזדהות,100,100,0,0
מידע מרכזי מיצוי זכויות,,רווחה ושירותים חברתיים,"מיצוי זכויות הוא תהליך בו אדם או משפחה מממשים את הזכויות המגיעות להם על פי חוק, בעיקר בתחומים חברתיים כמו בריאות, עבודה, חינוך, דיור וביטחון סוציאלי. מדובר בהבטחת זכויות אלו על ידי מידע, הכוונה וסיוע במימושן מול גופים שונים כמו המוסד לביטוח לאומי, משרדי ממשלה, רשויות מקומיות ועוד",אחר,כלל האוכלוסייה,לא,כן,כן,כן,לא,לא,1,הגעה פיזית,100,0,20,80
דיווח על אובדן כלב,,השירות הוטרינרי,דיווח לרשויות הרלוונטיות (כמו השירות הווטרינרי העירוני או המרכז הארצי לרישום כלבים) ולעיתים גם לעמותות העוסקות במציאת כלבים שאבדו. דיווח זה עוזר לאתר את הכלב במקרה והוא נמצא על ידי אנשים אחרים או ברשויות המקומיות,דיווח מידע,כלל האוכלוסייה,כן,לא,כן,לא,לא,לא,3,טופס דיגיטלי,96,0,0,96
הזמנת אולם קהילתי בבעלות הרשות לאירועים שונים,https://www.coing.co/Gantik_RentASpace,תרבות ופנאי,הזמנת אולם קהילתי בבעלות הרשות לאירועים שונים,אחר,כלל האוכלוסייה,לא,לא,כן,כן,לא,לא,2,טופס להורדה,80,20,0,60
"מידע פרוייקטים מיוחדים (דלת פתוחה , סדנאות למילואימניקים וילדיהם)",https://www.ganeytikva.org.il/%D7%94%D7%A9%D7%99%D7%A8%D7%95%D7%AA-%D7%94%D7%A4%D7%A1%D7%99%D7%9B%D7%95%D7%9C%D7%95%D7%92%D7%99/,שירות פסיכולוגי חינוכי,תמיכה רגשית,אחר,כלל האוכלוסייה,לא,כן,כן,כן,לא,לא,4,דיגיטלי עם הזדהות,80,80,0,15
בקשה להיתרי בנייה,https://handasa.ganeytikva.org.il/iturbakashot/,ועדת תכנון ובנייה,"תהליך שבו מבקשים אישור רשמי מהרשות המקומית לבצע עבודות בנייה, שינויים במבנה קיים, או שינוי בייעוד הנכס. היתר בנייה מבטיח שהבנייה תואמת את התוכניות המאושרות ותקנות הבנייה","רישוי, רישום ותעודות",כלל האוכלוסייה,כן,לא,לא,לא,לא,לא,4,דיגיטלי עם הזדהות,80,80,0,0
תשלום אגרת בנייה,,ועדת תכנון ובנייה,תשלום אגרה לרשות המקומית עבור קבלת היתר בניה,תשלומים,כלל האוכלוסייה,לא,לא,לא,כן,לא,לא,2,טופס להורדה,80,80,0,0
בקשות להקלות/שימושים חורגים,https://handasa.ganeytikva.org.il/iturbakashot/,ועדת תכנון ובנייה,"בקשות להקלות/שימושים חורגים הן בקשות להיתרי בנייה המבקשות שימוש בקרקע או בנכס שאינו תואם את השימוש המוגדר בתכנית בניין עיר (תב""ע) החלה על המקום. במילים אחרות, מדובר בבקשה לשימוש במקרקעין באופן שונה מהמותר על פי התוכנית החלה",בקשת מידע,כלל האוכלוסייה,כן,לא,לא,לא,לא,לא,4,דיגיטלי עם הזדהות,80,80,0,0
בקשה לכריתת/ עקירת עצים,https://www.ganeytikva.org.il/%d7%a0%d7%95%d7%94%d7%9c-%d7%91%d7%a7%d7%a9%d7%aa-%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%9b%d7%a8%d7%99%d7%aa%d7%94/,"שפ""ע",בקשה לכריתת עצים היא תהליך משפטי שמטרתו לקבל אישור מהרשויות (בדרך כלל פקיד היערות) לכרות עץ בוגר או מוגן. כריתת עץ ללא אישור עלולה להוביל לקנסות ואף להליכים משפטיים. מדובר בהגשת טופס רשמי לרשות המוסמכת (בדרך כלל פקיד היערות) המבקש אישור לכרות עץ בוגר או מוגן,אחר,כלל האוכלוסייה,כן,לא,כן,לא,לא,לא,4,דיגיטלי עם הזדהות,72,63,0,9
פניה למחלקת הסעות,,חינוך,פניה למחלקת הסעות להורים לתלמידים הזכאים להסעה,בקשת מידע,הורים,לא,לא,כן,כן,לא,לא,2,טופס להורדה,60,0,40,20
